iter	Passed	Remaining
0	3	680
1	6	663
2	9	645
3	13	639
4	15	612
5	17	579
6	20	552
7	22	533
8	24	515
9	26	502
10	29	514
11	32	511
12	34	501
13	37	492
14	39	483
15	41	475
16	43	469
17	45	462
18	47	456
19	50	451
20	52	445
21	54	440
22	56	435
23	58	431
24	61	427
25	63	422
26	65	418
27	67	413
28	69	409
29	71	406
30	73	402
31	75	398
32	78	394
33	80	391
34	82	388
35	84	385
36	86	381
37	88	379
38	90	375
39	93	372
40	95	370
41	97	367
42	99	363
43	101	360
44	103	357
45	105	354
46	108	351
47	110	349
48	112	346
49	114	344
50	116	341
51	119	338
52	121	336
53	123	334
54	125	331
55	127	328
56	130	326
57	132	323
58	134	322
59	138	322
60	140	320
61	142	317
62	144	315
63	147	313
64	149	310
65	152	309
66	154	307
67	157	304
68	159	303
69	161	300
70	164	298
71	166	295
72	168	292
73	170	290
74	172	288
75	175	285
76	177	283
77	179	280
78	181	278
79	183	275
80	186	273
81	188	271
82	190	268
83	192	266
84	194	263
85	196	261
86	199	258
87	201	256
88	203	253
89	205	251
90	207	248
91	209	246
92	212	244
93	214	241
94	216	239
95	218	236
96	220	234
97	222	231
98	225	230
99	227	227
100	229	225
101	231	222
102	233	220
103	235	217
104	238	215
105	240	212
106	242	210
107	244	208
108	246	206
109	249	203
110	251	201
111	253	199
112	255	196
113	257	194
114	259	192
115	261	189
116	263	187
117	266	184
118	268	182
119	270	180
120	272	177
121	274	175
122	276	173
123	278	170
124	280	168
125	282	165
126	284	163
127	286	161
128	288	158
129	291	156
130	293	154
131	295	152
132	297	149
133	299	147
134	301	145
135	303	142
136	305	140
137	307	138
138	309	135
139	311	133
140	313	131
141	315	129
142	318	126
143	320	124
144	322	122
145	324	120
146	326	117
147	328	115
148	330	113
149	332	110
150	334	108
151	336	106
152	338	104
153	340	101
154	342	99
155	344	97
156	347	95
157	349	92
158	351	90
159	353	88
160	355	86
161	357	83
162	359	81
163	361	79
164	363	77
165	365	74
166	368	72
167	370	70
168	372	68
169	374	66
170	376	63
171	378	61
172	380	59
173	382	57
174	385	55
175	387	52
176	389	50
177	391	48
178	393	46
179	395	43
180	397	41
181	400	39
182	402	37
183	404	35
184	406	32
185	408	30
186	410	28
187	412	26
188	414	24
189	416	21
190	418	19
191	420	17
192	422	15
193	424	13
194	427	10
195	428	8
196	431	6
197	433	4
198	435	2
199	437	0
