iter	Passed	Remaining
0	4	829
1	7	757
2	11	734
3	15	750
4	18	738
5	22	723
6	25	715
7	29	711
8	33	707
9	36	701
10	40	695
11	43	688
12	47	687
13	51	682
14	54	677
15	58	672
16	62	669
17	65	666
18	69	661
19	73	657
20	76	653
21	80	652
22	84	650
23	88	645
24	91	642
25	95	641
26	99	638
27	103	634
28	106	630
29	110	625
30	114	622
31	117	618
32	121	613
33	124	609
34	128	606
35	132	602
36	135	598
37	139	595
38	143	591
39	147	588
40	150	584
41	154	580
42	157	576
43	161	574
44	165	570
45	169	566
46	172	562
47	176	558
48	180	554
49	183	550
50	187	546
51	190	543
52	194	540
53	198	536
54	202	532
55	205	528
56	209	525
57	213	521
58	216	517
59	220	513
60	223	509
61	227	506
62	231	503
63	235	499
64	238	495
65	242	491
66	245	488
67	249	484
68	252	480
69	256	476
70	260	472
71	263	469
72	267	465
73	270	461
74	274	457
75	278	454
76	281	450
77	285	446
78	288	442
79	292	439
80	296	435
81	300	432
82	303	428
83	308	425
84	311	421
85	315	418
86	318	414
87	322	410
88	326	407
89	330	403
90	333	399
91	337	395
92	340	392
93	344	388
94	348	384
95	351	380
96	355	377
97	359	373
98	362	370
99	366	366
100	369	362
101	373	359
102	377	355
103	381	351
104	384	348
105	388	344
106	392	341
107	396	337
108	399	333
109	403	329
110	407	326
111	410	322
112	414	318
113	417	315
114	421	311
115	425	308
116	428	304
117	432	300
118	436	296
119	439	293
120	443	289
121	446	285
122	450	282
123	454	278
124	458	274
125	461	271
126	465	267
127	468	263
128	472	260
129	476	256
130	479	252
131	483	248
132	487	245
133	491	241
134	494	238
135	498	234
136	502	231
137	506	227
138	509	223
139	512	219
140	516	216
141	520	212
142	523	208
143	527	205
144	530	201
145	534	197
146	537	193
147	541	190
148	544	186
149	547	182
150	550	178
151	554	175
152	557	171
153	561	167
154	564	164
155	568	160
156	572	156
157	576	153
158	579	149
159	583	145
160	587	142
161	590	138
162	594	134
163	598	131
164	601	127
165	605	124
166	609	120
167	612	116
168	615	112
169	619	109
170	623	105
171	627	102
172	630	98
173	634	94
174	638	91
175	641	87
176	645	83
177	648	80
178	652	76
179	655	72
180	658	69
181	661	65
182	665	61
183	668	58
184	671	54
185	675	50
186	678	47
187	682	43
188	685	39
189	689	36
190	692	32
191	696	29
192	701	25
193	705	21
194	710	18
195	714	14
196	718	10
197	722	7
198	726	3
199	729	0
